823543	000000000823543
2187	000000000002187
1	000000000000001
1	000000000000001
19683	000000000019683
65536	000000000065536
25	000000000000025
1	000000000000001
4	000000000000004
387420489	000000387420489
117649	000000000117649
46656	000000000046656
5	000000000000005
1	000000000000001
1024	000000000001024
6	000000000000006
1	000000000000001
1	000000000000001
0	000000000000000
216	000000000000216
1	000000000000001
19683	000000000019683
262144	000000000262144
1	000000000000001
1	000000000000001
1	000000000000001
262144	000000000262144
6561	000000000006561
1	000000000000001
256	000000000000256
343	000000000000343
36	000000000000036
19683	000000000019683
32768	000000000032768
1	000000000000001
0	000000000000000
216	000000000000216
1	000000000000001
15625	000000000015625
0	000000000000000
1	000000000000001
0	000000000000000
387420489	000000387420489
19683	000000000019683
1	000000000000001
19683	000000000019683
3	000000000000003
729	000000000000729
0	000000000000000
1	000000000000001
9	000000000000009
0	000000000000000
279936	000000000279936
5	000000000000005
279936	000000000279936
1	000000000000001
4096	000000000004096
16384	000000000016384
1	000000000000001
279936	000000000279936
0	000000000000000
512	000000000000512
27	000000000000027
1	000000000000001
36	000000000000036
59049	000000000059049
5	000000000000005
8	000000000000008
2097152	000000002097152
117649	000000000117649
65536	000000000065536
81	000000000000081
1	000000000000001
6561	000000000006561
512	000000000000512
49	000000000000049
243	000000000000243
117649	000000000117649
16777216	000000016777216
1	000000000000001
1	000000000000001
1	000000000000001
1	000000000000001
4	000000000000004
512	000000000000512
0	000000000000000
0	000000000000000
81	000000000000081
262144	000000000262144
1	000000000000001
8	000000000000008
64	000000000000064
8	000000000000008
531441	000000000531441
1	000000000000001
8	000000000000008
27	000000000000027
64	000000000000064
262144	000000000262144
1	000000000000001
512	000000000000512
1	000000000000001
6561	000000000006561
262144	000000000262144
2	000000000000002
1	000000000000001
1024	000000000001024
125	000000000000125
262144	000000000262144
1	000000000000001
6561	000000000006561
256	000000000000256
5764801	000000005764801
256	000000000000256
64	000000000000064
4096	000000000004096
8	000000000000008
262144	000000000262144
1953125	000000001953125
1	000000000000001
512	000000000000512
65536	000000000065536
1	000000000000001
1	000000000000001
7776	000000000007776
78125	000000000078125
9	000000000000009
1	000000000000001
6561	000000000006561
7776	000000000007776
4782969	000000004782969
0	000000000000000
4096	000000000004096
46656	000000000046656
15625	000000000015625
10077696	000000010077696
1	000000000000001
32768	000000000032768
2	000000000000002
1	000000000000001
1679616	000000001679616
7776	000000000007776
1	000000000000001
65536	000000000065536
16	000000000000016
125	000000000000125
59049	000000000059049
256	000000000000256
1	000000000000001
262144	000000000262144
36	000000000000036
59049	000000000059049
512	000000000000512
0	000000000000000
0	000000000000000
10077696	000000010077696
6561	000000000006561
1	000000000000001
1	000000000000001
1	000000000000001
243	000000000000243
625	000000000000625
1	000000000000001
32	000000000000032
5764801	000000005764801
1024	000000000001024
0	000000000000000
0	000000000000000
16	000000000000016
0	000000000000000
390625	000000000390625
4096	000000000004096
1	000000000000001
10077696	000000010077696
729	000000000000729
43046721	000000043046721
32	000000000000032
32	000000000000032
16384	000000000016384
0	000000000000000
15625	000000000015625
531441	000000000531441
4	000000000000004
1	000000000000001
64	000000000000064
1	000000000000001
1	000000000000001
7776	000000000007776
0	000000000000000
1024	000000000001024
1	000000000000001
27	000000000000027
2187	000000000002187
134217728	000000134217728
1	000000000000001
81	000000000000081
343	000000000000343
512	000000000000512
343	000000000000343
7	000000000000007
8	000000000000008
19683	000000000019683
1	000000000000001
1	000000000000001
125	000000000000125
390625	000000000390625
1	000000000000001
16	000000000000016
0	000000000000000
390625	000000000390625
1953125	000000001953125
4	000000000000004
256	000000000000256
3	000000000000003
1	000000000000001
16384	000000000016384
1	000000000000001
36	000000000000036
0	000000000000000
1024	000000000001024
36	000000000000036
78125	000000000078125
16384	000000000016384
81	000000000000081
256	000000000000256
78125	000000000078125
823543	000000000823543
1	000000000000001
16	000000000000016
4	000000000000004
10077696	000000010077696
1	000000000000001
40353607	000000040353607
128	000000000000128
256	000000000000256
1	000000000000001
0	000000000000000
59049	000000000059049
81	000000000000081
1	000000000000001
729	000000000000729
0	000000000000000
6	000000000000006
1	000000000000001
1	000000000000001
243	000000000000243
1	000000000000001
1	000000000000001
262144	000000000262144
43046721	000000043046721
32768	000000000032768
1	000000000000001
1	000000000000001
15625	000000000015625
1953125	000000001953125
43046721	000000043046721
7	000000000000007
0	000000000000000
4096	000000000004096
27	000000000000027
4782969	000000004782969
64	000000000000064
729	000000000000729
2187	000000000002187
625	000000000000625
7776	000000000007776
0	000000000000000
279936	000000000279936
343	000000000000343
81	000000000000081
256	000000000000256
4	000000000000004
16807	000000000016807
343	000000000000343
3	000000000000003
1296	000000000001296
0	000000000000000
16807	000000000016807
4	000000000000004
1	000000000000001
6	000000000000006
15625	000000000015625
8	000000000000008
2187	000000000002187
5764801	000000005764801
2	000000000000002
4096	000000000004096
5	000000000000005
1	000000000000001
1024	000000000001024
36	000000000000036
43046721	000000043046721
43046721	000000043046721
27	000000000000027
0	000000000000000
2187	000000000002187
40353607	000000040353607
78125	000000000078125
2	000000000000002
7	000000000000007
387420489	000000387420489
729	000000000000729
390625	000000000390625
40353607	000000040353607
81	000000000000081
262144	000000000262144
32768	000000000032768
387420489	000000387420489
64	000000000000064
81	000000000000081
1	000000000000001
3	000000000000003
40353607	000000040353607
1	000000000000001
0	000000000000000
1	000000000000001
46656	000000000046656
2401	000000000002401
823543	000000000823543
1	000000000000001
19683	000000000019683
2	000000000000002
6	000000000000006
1	000000000000001
46656	000000000046656
5764801	000000005764801
4	000000000000004
